,Description,Ammonia,Apple,Apricot,Berry,Blue,Blueberry,Butter,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Fruit,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Mint,Minty,None,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree,Tropical,Vanilla,Violet,Woody
10,rd coast panama chunk bedford grow cross east coast panama chunk panama f x deep chunk sour diesel vigorous strain creates dense resinous bud reek pine fuel panama chunk potent versatile hybrid provides immediate mood elevation stress relief making ideal long day strain s varied cerebral physical effect help consumer abate anxiety insomnia tending migraine muscular pain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,st og bred rare dankness indica dominant hybrid cross skywalker og rare dankness  colorful flower tinged wide spectrum green blue red purple hue give deep piney kush aroma mix sweetness grape flavor potent indica effect make st og great nighttime strain help pain relief trouble sleeping,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,elemental seed crossed blackberry spark og create impressive strain th element produce huge yield sticky bud feature powerful earthy lemony smell flavor effect quite strong good mix cerebral body high,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,strain emerged humboldt county california area s telephone area code source numerical moniker s cross sour diesel og kush master kush  headband plant flower   week usually large yield indica dominant hybrid strain known high thc level strong s balanced enough leave user feeling heady creative rather sleepy s often used treat tension anxiety,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,bred barney s farm  ball kush pure indica variety descended afghani landrace strain many cannabis variety come hindu kush region  ball kush produce large amount crystal resin blanket bud aroma earthy spicy may find effect cerebrally stimulating average indica hardy resilient plant  ball kush   day flowering time indoors outdoor garden finish end september,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,named telephone area code san fernando valley los angeles  og og kush strain popular patient treating pain loss appetite insomnia confused og cut named locale  og fruity flavor quite different sour earthy fuel taste found sfv og,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16, og aka santa cruz og indica dominant strain developed  organiks created crossing rare potent inferno f cut west coast mainstay sfv og combination heavyweight indicas imbues consumer deep relaxation border sleepy especially continued consumption aroma pure fuel flavor open note pine earth lemon enjoy strain near end day beware strain known reach toward  thc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17, pound hammer  indica strain cross gooberry hell og jack ripper dense bud coated resin offering sweet grape lime flavor true indica dominance effect heavy long lasting useful pain stress relief best grown indoors  pound hammer will deliver heavy yield flowering   day,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18, krypt dna genetics potent strain many name bred chemdawg  stock crossed dna s famous captain krypt og strain created high potency cannabis consumer emits deep dank terpene profile fill room skunk swampy earth thc content pushing  average enjoy  krypt stimulate appetite harnessing full body relaxation,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19, earthy hashy taste provides heavy body stone frequently used treat insomnia chronic pain,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,coming popular sour diesel og kush chemdawg family tree dub solid reputation potency hybrid produce well balanced effect creating euphoric happy buzz great influence expressing creativity sour double sour diesel sour bubble cross alien dawg alien technology crossed chemdawg combine birth magnificent flower,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,train hybrid mazar sharif clone arcata e  trainwreck hybrid give classic stoned feeling ready smile munchies jump train,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,acdc sativa dominant phenotype high cbd cannabis strain cannatonic one remarkable characteristic acdc thc cbd ratio   meaning strain induces psychoactive effect test put acdc s cbd content high  help many patient treat pain anxiety epilepsy multiple sclerosis negative effect chemotherapy without intoxication,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,don t let intense name fool ak  will leave relaxed mellow sativa dominant hybrid delivers steady long lasting cerebral buzz keep mentally alert engaged creative social activity ak  mix colombian mexican thai afghani variety bringing together complex blend flavor effect ak  s scent sour earthy sweet floral note fully realized taste created  serious seed ak  won numerous cannabis cup award around world soaring thc content hoping fill garden resinous skunky hybrid grower recommend indoor environment either soil hydroponic setup ak  easy grow short indoor flowering time   day outdoor plant typically finish toward end october,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,although hybrid ak  high lean towards typical sativa effect ak  s parent ice jock horror ice mother ancestor afghani skunk northern light shiva stock,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,aberdeen variety agent orange grown canadian lp aphria agent orange aberdeen combine genetics orange velvet jack ripper create mix sweet orange citrus flavor happy uplifting effect aberdeen mirror agent orange regularly prescribed anxiety migraine gastrointestinal disorder,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,popular californian cut og kush abusive og indica strain inherited nickname original grower despite violent name abusive og will ease peaceful state mind fade time full body relaxation true og genetics abusive og earthy spice aroma subtle lemon undertone patient don t mind mental haziness might choose strain remedy pain anxiety appetite loss sleeplessness end day abusive og may produce highest yield garden make resin caked bud,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,one well known strain acapulco gold likened dinner five star restaurant strain come area around acapulco mexico orange hair resemble gold nugget gold green brown color resin collecting bud aroma burnt toffee lingers bud broken acapulco gold reputation one best cannabis strain created becoming difficult find due grower moving indoors,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,ace killer og indica strain boast high thc content pungent diesel aroma bred white fire og king s kush kosher kush mystery strain ace killer og inherits heavy blanket snow resin hard hitting effect stupefy even seasoned veteran,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,ace spade creation tga subcool seed take advantage popular sweet sour combination never go style crossbreed black cherry soda jack ripper strain earthy berry citrus smell carry taste distinctly lemony flavor ace spade plant grow fast need lot space will bushy tall flowering occurs  week generally large heavy bud pretty look range color include purple blue pink coated orange hair,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30,aceh called atjeh refers sativa variety cannabis come aceh region indonesia sativas typically grow tall thin considered finest among indonesia s landrace variety,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,acid paradise seed take original new york sour diesel expect powerful body effect including uplifted nearly psychedelic mental energy plant exhibit metallic flavor representative namesake traditional note gas nose acid thrives indoor outdoor environment finishing   week,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,acid dough ripper seed sativa dominant strain energetic effect created crossing lilly queen mother x congo x og badazz strain offer sweet candy aroma bright pineapple flavor generous yield acid dough approximate   day flowering time colorful foliage strain responds well cold temperature finishing process creating bud deep violet hue extra resin production acid dough won nd place best sativa  spannabis champion cup nd place  expogrow cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,afcrack cannabis speedball sort strain incorporates afgoo green crack polar opposite spectrum indica sativa variety create pseudo sedative experience rest muscle invigorating heart mind spicy earth note indicate afghani heritage hybrid s effect situation specific will offer energy sedation depending consumer s level activity,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,spawn afghani big bud afghan big bud big bud afghani characterized large plant broad leaf thick stem dense appearance similar big bud maintains taste afghani resulting best world effect come relatively quick usually dissipate two hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,sweet smelling resinous sativa breed dr krippling seed sure keep couch afghan cow bred ash kaya  ak  phenotype beloved kali mist cerebral effect sativa great clear headed daytime use high yield indoors impressive plant even impressive effect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
36,afghan diesel hybrid strain aroma similar grapefruit citrus fruit taste described light sweet strain will cerebral effect rather body plant characterized dark green leaf purple colored bud,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,afghan hawaiian indica dominant hybrid uk cheese lavender bred canadian lp organigram inc sweet mix earthy cheese flavor hint licorice caramel undertone produce rush euphoria level deep relaxation organigram classifies afghan hawaiian nd variety recommend neurological disorder spasticity,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,afghan haze sativa dominant hybrid combine resinous afghani indica sweet smelling haze sativa created former sensi breeder nevil schoenmaker shantibaba mr nice seed afghan haze balance energizing cerebral invigoration soothing full body effect clear headed relief allows patient treat pain depression appetite loss day heavier dos help ease mind body peaceful sleep afghan haze may excruciatingly long indoor flowering time  week large harvest potent crystal covered bud worth waiting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,afghan kush s root trace back hindu kush mountain range near afghanistan pakistan border genotype perfected century making ultimate source hash chara sticky black afghani hash white label seed company sensi seed partner netherlands made seed strain available everyone grow bud afghan kush develop massive blunt topped nugget full resin pure indica goodness heavy yield revered heavy resin content powerfully sedating effect afghan kush top choice anyone looking relax long day,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,popular classic strain originally developed united state cross pure indica genetics afghani strain durable gene skunk plant afghan skunk quickly spread amsterdam beyond now considered one classic resilient skunk gene make plant popular recommendation new grower legendary high yield make favorite around flowering happens around  week bud will menthol smell combined sweet stink skunk known test shown thc level  stink isn t thing s potent afghan skunk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
41,afghan sour kush mtg seed indica dominant cross afghani sour kush heavy relaxing effect ushered sweet berry aroma sharp spicy flavor typical kush variety stout sturdy afghan sour kush plant tight internodal spacing finish flowering  day,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,afghan widow strain deep relaxing quality immediately envelop body calming aura mid level sedation pleasant debilitating continued consumption strain may yield benefit patient treating insomnia nausea physical discomfort cancer treatment side effect afghan widow lineage common sense cross afghan kush white widow,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,afghani heavy indica strain named geographic origin earliest variety cannabis believed grown breeder worldwide come treasure afghani heavy resin production passed genetically sweet earthy aroma afghani delivers deep sedating relaxation euphoria patient commonly turn potent indica treat insomnia pain stress disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,strain quite myth circulating original appearance blew san diego spreading rest west coast afghani bullrider pretty look light green bud covered orange hair strong sweet sour smell piney freshness strain heavy hitter delivers strong body without full sedative effect indicas head straight brain may boost creative thought providing physical relaxation high level thc cbd afghani bullrider recommended chronic pain insomnia anxiety,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,afghani cbd high cbd variant landrace indica afghani grown canadian lp tilray named geographic origin afghani cbd relaxing therapeutic property shown potential help suffering insomnia chronic pain stress disorder,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,afghanica strain created flying dutchman taste form effect typical afghani variety coupled yield vigor general potency true skunk pleasure grow consume strain cherished many medical application including pain relief insomnia heavy physical characteristic lent mother afghani ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
47,afghanimal house genetics heavy indica leaning cross afghani animal cooky squat plant offer tight rock hard nugget reek sweet acrid earth intermixed fruit floral note lends consumer heavy physical effect suited pain relief relaxation mood enhancement afghanimal s smaller stature snappy   week flowering time make perfect fit indica loving indoor grower seeking classic modern indica dominant genetics,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,known afgoo afghooey bud light fluffy heavily laden crystal coating trichomes working marijuana hand become sticky situation smoking afghooey provides best world indica sativa high,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,afgoo known afgooey potent indica strain believed descend afghani indica maui haze sativa parent may lend afgoo uplifting creative quality strain undoubtedly take indica parent primarily delivers relaxing sleepy effect alongside earthy pine flavor grower hoping cultivate afgoo may better chance success indoors indica thrive mediterranean climate outdoors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,afgooey known afgoo potent indica strain believed descend afghani indica maui haze sativa parent may lend afgoo uplifting creative quality strain undoubtedly take indica parent primarily delivers relaxing sleepy effect alongside earthy pine flavor grower hoping cultivate afgoo may better chance success indoors indica thrive mediterranean climate outdoors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,afkansastan relaxing afghan landrace strain pack punch grows stout plant dense dark green bud exhibit hint purple brick red pistil throughout smell earthy sweet show berry stone fruit grinding exhale indica dominant strain offer traditional sedative effect curb physical discomfort insomnia ignite appetite utilize strain later day harness best offer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,afpak named direct afghani pakistani landrace heritage beautiful indica dominant hybrid light green deep bluish purple leaf taste aroma floral touch lemon making inhale light smooth effect start stomach activating appetite potent relaxation start head face gradually sink body enjoy strain re suffering stress mild physical discomfort difficulty eating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,african refers indigenous variety cannabis landraces grow natively region world region s latitude climate native landrace strain tend sativa structure effect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,afrikaner cannabaal master grower waldo botha pure south african landrace strain tall strain produce high level thcv alongside healthy  thc content earthy hemp aroma flavor sweet picante weed stench say producer pure sativa afrikaner energizes body euphoric lust life keeping mind fairly clear utilize strain proper dosage harness physical stimulation mood elevation productive mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,afternoon delight created colorado seed inc difficult strain track noted small dense nugget aroma pine pungent terpene afternoon delight described indica dominant hybrid hazy aura engulfs mind body indulge caution hybrid known potency,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,afwreck hybrid cross afghani trainwreck strong sativa effect immediate head concentrated high,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,don t let name scare herbicidal warfare agent orange will wage excellence strain s flavor uplifting effect well balanced hybrid combine smooth orange velvet bold jack ripper agent orange will capture sens wonderful smell orange fresh cut citrus fruit will entice immediately pigment deep maroon purple will make bud stand sea green effect uplifting motivating serving great mood enhancer feeling lethargic depressed,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,craving cerebral buzz citrus kick c agent tangie perfect glittery cola light green zesty floral flavor effect linger crown skull disperse throughout body steady wave invigoration strain may assist suffering perpetual procrastination depression fatigue,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,air jordan og grown exclusively good gold california pure indica strain pack punch don t let name fool air jordan og s potent sedating effect will melting deep couch priming nap good night s sleep strain delivers sleepy relaxing effect sharp aroma wood fresh pine,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,al s dream rapidly becoming colorado cannabis staple cross albert walker blue dream yield unique connoisseur grade flower note celery seed pungent earth open note citrus combustion offering consumer heady euphoria lends creative task medicinal benefit curb effect depression nausea stress al s dream known mild psychedelic effect thc content pass ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,alaska developed tikun olam israeli strain comprised  sativa genetics uplifting effect intended daytime consumption alaska found successfully treat array medical symptom including inflammation pain nausea insomnia gastrointestinal disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,sonoma county come alaska thunder grape hybrid strain balance genetics matanuska thunder fuck grape ape floral flavor lavender hibiscus alaska thunder grape delivers heavy euphoric effect promote rest relaxation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,alaskan ice green house seed powerful sativa cross euphoric white widow hybrid energizing buzz haze frostlike resin blanket bud promise soaring psychoactivity anchored moderate cbd content intensity  sativa strain recommended evening consumption unproductive weekend alaskan ice slight variant moby dick pose greater challenge grower cultivator expertise raise alaskan ice will rewarded highly potent harvest sour spicy bud following  week flowering period high resin content alaskan ice made strain favorite among hash producer patient severe symptom,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
